id,title,genres,overview,release_date,poster_path,vote_average
1443551,Alchemy of the Word,[],"1873 - The precocious, French poet, Arthur Rimbaud, has eloped with his mentor - the older, married Paul Verlaine - to London where they are struggling to keep the faith in their love and their work. Despite the downward spiral of poverty and violence, it is here that Rimbaud will pen his aptly named masterpiece, “A Season in Hell.”",2025-03-15,/q4XsIeugSMtTaaXoVL73fiHu7VD.jpg,0.0
1443993,England’s Lions: The New Generation,['Documentary'],"Chronicles the experiences of England’s emerging football stars as they navigate the immense pressure and glory of representing their country. The film provides intimate access to these players’ journeys, from their grassroots beginnings to the cauldron of the European Championships.",2025-03-15,,0.0
1443480,Der geräderte Mensch,['Comedy'],,2025-03-16,/4gQ2ZnfZ6u6WB9iWmWm9sLCLqm1.jpg,0.0
1442915,Bet,"['Drama', 'History']","Before the Liberation, during the years of the exiled Bulgarian revolutionaries in Romania, the Major and the Prime Minister once shared the same ideals, the same home, and even the same woman. Today, the Major orchestrates a conspiracy to overthrow the government led by his former friend, the Prime Minister. The head of state must be assassinated, and the Prince – dethroned. The woman is part of the plot, but she will try to prevent the fratricide.",2025-03-16,/aqsDDMTnmTZwbbZmDepqLFPdoiZ.jpg,0.0
1440083,Marciano García,['Drama'],,2025-03-16,/sdGwrjlFO9NII5mPKf57kCjX9VD.jpg,0.0
1439526,Full Out,[],"In 19th-century Paris at the Salpêtrière Hospital, patients were hypnotized onstage to reproduce the symptoms of hysteria for public audiences. Over a century later, high school cheerleaders are fainting en masse.",2025-03-16,/eXvVjE5RyNKbxHCmmj1DLu55GKe.jpg,0.0
1439514,The Phalanx,[],"Letters from the Ceresco community trace the fragility of harmony, the dream of life in association. Members of the phalanx drift apart, lingering in private corners, suspended in speculative time.",2025-03-16,/4wgiJBrpvLh9kOe8feXd5MxLbzW.jpg,0.0
1439509,Songs Overheard in the Shadows,[],"Balanced on the edge of what is visible, everything comes from nothingness and returns to nothingness. Strands of consciousness trying to convene with each other. Forms of personal significance in a time of crisis, set free into random motion through chance operations. Recurring details point towards a center.",2025-03-16,/3Cgx8CMlZ8BL4ayG9fzZYuK5fYZ.jpg,0.0
1438267,Gamad Machmad 4,"['Drama', 'Comedy', 'Thriller', 'Action']","Four years have passed since Kfar and Gamadi's last fight, which ended in Gamadi's defeat. As time passes, the neverending threat of Gamadi seems to haunt Kfar, and leads him into a life revolving around the constant seek of revenge, violence and hate. And now with Piggy, his best friend, leaving to join the army. Kfar is left to deal with Gamadi on his own.",2025-03-16,/9jw0tNgP3pRCq3WioDDbjwOI1n4.jpg,0.0
1444686,Charon,"['Drama', 'Mystery']",,2025-03-15,/AaWcKpzEstnN2pexQRRFcaZC38t.jpg,0.0
1444332,"Y por si fuera poco, Godard",[],"Julio, a young man in his twenties, is in a relationship with Gladys, an older woman worried about not appearing like his mother. Amid hidden feelings and the complexities of love, they discover in a downtown café that they have more in common than they ever imagined.",2025-03-15,/eeieVMafshP9PgwnAze9d9McoDT.jpg,0.0
1444331,Final,[],"One room, two girls. They would be the perfect elements for a new sapphic love story, except for Alex and Pau, which is the end of it all. Both try to “do it right”, but this was never synonymous with easy.",2025-03-16,/nSNOzbstoR0dW960oT1c33qGiYz.jpg,0.0
